PHYS476,Social Development II ECON
CS64941,Topics in ECON
HIST524,Workshop in SOC,HIST533
HIST292,Principles of CHEM
MUS180,Fundamentals of HIST
CHEM438,Theory of STAT
MATH514,Lab in BIO
CS152,Data Structures SOC
CHEM490,Chemistry ECON
ECON509,Lab in ART,SOC41706
HIST389,Machine Learning MATH,PSY145
HIST509,Social Development I MATH,PHYS376
ECON53958,Fundamentals of SOC
MATH552,Social Development II PSY,ECON31053
PSY237,Lab in MIS
BIO575,Theory of BIO
MUS313,Calculus II PSY,PSY598
SOC220,Applications of ART
ECON17834,Social Development I BIO,BIO425
PHYS199,Cognitive Science STAT,MATH198
BIO587,Social Development I CS
CS535,Astrophysics ECON
ART549,Principles of SOC
CHEM344,Physics PHYS,BIO509
ART189,Research in PSY,CS281
PSY362,Microbiology ART
MUS79275,Theory of MUS
PHYS184,English I BIO
MIS510,Applications of MUS
SOC262,Fundamentals of PHYS
SOC268,Principles of CHEM,PSY179
MUS280,Thermodynamics MIS
ART527,English I HIST
ART422,Social Development II CS
PSY144,Machine Learning PSY,HIST415
STAT328,Social Development I CHEM
HIST394,Topics in HIST
ART269,Regression Analysis HIST
MATH66430,Workshop in PSY
BIO512,Intro to ENG,ECON288
ENG247,Seminar on MUS
MATH491,Statistics ECON,PHYS277
CHEM216,Machine Learning MIS
CHEM369,Calculus II ART
CHEM249,Astrophysics PSY
MIS485,Workshop in CS
ART361,English II CHEM,ENG440
BIO265,Data Structures PSY
CHEM23716,Artificial Intelligence MATH,SOC480
CS204,English I CHEM
ART289,Methods in ART
PSY450,English II CS
MATH296,Calculus I MIS
MIS270,Physics SOC
BIO370,Theory of BIO
MATH500,Astrophysics MUS
ENG265,Social Development II MATH
MIS315,English II PSY,MUS413
MATH479,Topics in MATH
CS103,Research in HIST
CHEM341,Statistics CS
ENG491,Principles of BIO
MIS581,Artificial Intelligence ECON
MIS361,Topics in MATH
HIST234,Artificial Intelligence HIST,MIS337
MATH168,Regression Analysis ART,PHYS108
CHEM144,Lab in CS,ECON119
PHYS233,Workshop in BIO
ART396,Artificial Intelligence STAT
CHEM458,Intro to PHYS
MUS264,Methods in CHEM
STAT108,Statistics STAT
BIO39449,Methods in STAT
PHYS539,Calculus II ART,CHEM285
SOC180,Applications of MUS
ENG360,Physics CHEM
CHEM513,Astrophysics ENG
ART522,Theory of CS,HIST473
ART133,Machine Learning PHYS
MUS370,Biology MIS
HIST44668,Social Development II BIO,PSY547
ECON468,Microbiology HIST
STAT194,Principles of MIS,PHYS276
CHEM40175,Physics STAT
SOC347,Physics CHEM
MATH568,Research in MATH,SOC564
MUS296,English I STAT
STAT458,Fundamentals of CHEM
BIO429,Fundamentals of CS
CHEM459,English II CHEM
ART373,Thermodynamics CS
HIST546,Astrophysics PSY,PSY333
PSY339,Chemistry SOC,MATH96461
MIS35556,Principles of ECON,SOC394
HIST593,Microbiology ENG,MIS317
SOC394,English II SOC,HIST596
ENG174,Social Development II MUS,MIS180
STAT106,Workshop in MATH
MATH346,Thermodynamics MATH
MUS541,Advanced PSY
MIS317,English II MIS
MATH51774,Lab in ART
STAT550,Regression Analysis BIO
ECON562,English II HIST,BIO549
STAT567,Theory of ENG
PHYS335,Physics ENG
CS344,Advanced BIO
ENG281,English II HIST
CHEM414,Principles of PSY,MATH163
ART362,Lab in CHEM,MATH550
MIS378,Seminar on MATH
STAT413,Advanced ECON
STAT496,Calculus I CHEM,ECON260
ART572,Topics in STAT
ENG200,Methods in PSY
CHEM457,Principles of HIST,PSY161
PHYS214,English I CHEM
SOC480,Physics PHYS
CHEM440,Astrophysics ART,CHEM367
ECON389,Artificial Intelligence MATH
STAT320,Intro to ART
MATH283,Microbiology PSY
PHYS206,Seminar on STAT
PSY581,Lab in BIO,CHEM519
ECON263,Physics ART,MIS165
ECON277,Cognitive Science PSY,HIST34644
PSY410,Chemistry BIO,CS564
CS370,Regression Analysis ENG
CHEM564,English I CS
MUS212,Topics in MATH,ENG186
ART298,Principles of PSY
MUS521,Topics in MIS
SOC505,Lab in MATH
BIO460,Microbiology ENG
ENG562,Astrophysics PHYS
MATH500,Regression Analysis HIST
PSY391,Lab in PSY,PHYS438
ECON389,Thermodynamics MUS,ENG565
HIST150,English II STAT,PHYS374
ART138,Topics in ECON
CHEM100,Biology SOC
MIS200,Calculus I MUS
BIO138,English II ENG,MIS42888
STAT275,Thermodynamics PSY
PHYS210,Applications of ENG
ENG468,Machine Learning MIS
PSY571,Data Structures ECON,CS89858
SOC61430,Machine Learning MUS
MUS157,Biology ENG,STAT546
ENG482,Calculus I STAT
STAT293,Intro to HIST
STAT102,Applications of ECON
ECON146,Calculus I ENG
PHYS66744,Biology PHYS
ENG293,Statistics PHYS
MIS399,Data Structures ENG
BIO333,Seminar on MUS,ART330
MATH262,Applications of PHYS
PHYS235,Advanced ENG,CS362
STAT205,Machine Learning CS
ART522,Principles of STAT
CHEM531,Artificial Intelligence HIST
ECON490,Seminar on MATH
ECON555,Principles of CHEM
CHEM258,Data Structures PSY
BIO141,Statistics CS,MUS505
MATH15197,Chemistry MATH
MATH205,Fundamentals of MIS
MUS488,Seminar on PSY
CHEM436,Regression Analysis SOC
STAT551,Data Structures BIO
MUS103,English II ART,CHEM194
CS509,Research in CS
BIO254,Biology PHYS,ECON143
MIS578,Data Structures PSY,CS498
ECON164,Physics ENG
CS102,Calculus I ART
MATH12882,Advanced HIST
MUS288,Methods in CHEM,SOC320
HIST244,Artificial Intelligence STAT,CS595
CHEM174,Calculus II MUS
PSY512,Workshop in PHYS
HIST495,Principles of MIS
HIST262,Artificial Intelligence BIO,PHYS410
ENG397,Artificial Intelligence PHYS
ART589,Thermodynamics ART
ENG243,Seminar on MATH
MIS507,Chemistry SOC
SOC229,Machine Learning SOC
MIS131,Machine Learning ART,BIO141
PSY588,Artificial Intelligence PHYS
STAT393,Social Development I ENG
SOC143,Workshop in ENG
ECON124,Seminar on MATH,MIS84188
ECON578,Lab in PSY
HIST419,Seminar on PSY,STAT571
CS380,Regression Analysis CS
SOC265,Intro to SOC
CHEM349,English II CS,CHEM345
BIO481,Applications of PSY,HIST241
MUS123,Astrophysics ART
STAT599,Social Development I ENG,PHYS287
MIS337,English I PSY,PSY231
BIO462,Principles of MIS
SOC103,Thermodynamics ECON
BIO317,Astrophysics ECON
CS349,Fundamentals of ECON,ART30407
MIS126,Physics STAT,SOC121
BIO245,Social Development I PSY
PSY158,Cognitive Science PHYS
ECON204,Social Development II PHYS
ART350,Regression Analysis MUS
HIST128,Theory of ART,CHEM108
ART379,English I MIS
PHYS427,Methods in MIS
CHEM181,Chemistry MIS
HIST298,Principles of ECON,SOC538
BIO475,Astrophysics STAT
CHEM269,Methods in BIO
HIST146,Advanced CHEM,MIS406
MUS97489,Research in HIST
MUS510,Principles of CHEM
ENG174,Regression Analysis SOC,BIO132
ECON163,Lab in MUS
MIS243,Machine Learning STAT
PHYS240,Thermodynamics ECON
BIO313,Intro to STAT
ECON402,Workshop in CHEM
MUS581,Lab in CS
MIS42888,Regression Analysis MUS
ENG420,Advanced MUS
PHYS298,Research in STAT
BIO137,Intro to SOC,BIO21753
MATH184,Statistics SOC,HIST595
ENG277,Astrophysics HIST
ART276,English II PSY
HIST222,Chemistry MATH
STAT210,Fundamentals of CS,ART589
SOC25163,Data Structures ENG
HIST259,Workshop in STAT
CS503,Seminar on PHYS,STAT489
BIO449,Topics in SOC
MATH489,Chemistry ECON
MIS337,Cognitive Science MATH
STAT453,Data Structures HIST
STAT455,Social Development II CS
MATH255,Statistics ECON,PSY578
ECON106,Seminar on SOC
HIST279,Artificial Intelligence ART
MUS580,Machine Learning ART,ECON115
MIS190,Artificial Intelligence SOC
CS204,English I BIO,CHEM509
STAT130,Intro to ART
MATH505,Fundamentals of SOC
STAT283,Microbiology CHEM,ENG468
MUS186,Calculus I ENG
MATH64366,Social Development II CS
PHYS13674,Microbiology MIS
CS281,Topics in HIST,CHEM349
MIS504,Microbiology MIS,SOC369
ART168,Calculus I ART
BIO551,Social Development I BIO
CHEM19624,Social Development II PSY
ART128,Seminar on SOC
ECON305,Data Structures PSY,PHYS241
MIS485,Lab in CS,MIS22063
ENG221,Statistics BIO
CHEM317,Intro to MIS
CHEM304,Regression Analysis HIST
SOC459,Data Structures STAT,MIS38575
ECON302,Microbiology HIST
ENG249,Methods in CHEM
ENG317,Seminar on MUS,CS312
ECON525,Social Development II STAT
MATH534,Social Development I PHYS,ART595
CHEM363,Social Development I PSY
BIO574,Regression Analysis MATH,STAT186
MIS234,Chemistry STAT
STAT24480,English I SOC,ENG202
PSY158,Data Structures MATH,MIS406
MUS421,English II MATH
PHYS547,Seminar on MIS
CHEM237,Fundamentals of ECON
SOC55986,Social Development I ART
BIO45829,Calculus II MIS
MATH524,Theory of MUS
MIS361,Theory of MATH,CHEM575
ART204,Cognitive Science PHYS
PSY35263,Thermodynamics MATH
MATH188,Astrophysics SOC,PSY361
MATH551,Chemistry HIST
PSY85142,Physics CS
SOC548,Chemistry MUS
MIS283,Advanced HIST
MIS403,Fundamentals of STAT
PHYS261,Physics HIST
ENG85999,Advanced PHYS
CS319,Research in CS,BIO579
MUS501,Social Development II MUS
HIST256,English I ENG
MIS134,Cognitive Science ART
PSY424,Methods in STAT,STAT271
MUS336,Research in SOC
ENG311,Microbiology BIO
STAT546,Regression Analysis MATH
SOC72862,Artificial Intelligence ART,MATH28351
PSY87282,Cognitive Science PHYS
MATH565,Astrophysics CHEM
ECON10550,Biology MATH
MUS453,Physics ART,ECON153
HIST29161,English II MATH
CS288,Methods in PHYS,STAT497
BIO147,Theory of MATH,PSY570
BIO347,Microbiology MIS
PSY119,Lab in ENG
PHYS30378,Methods in MUS
BIO491,Applications of SOC
CHEM131,Chemistry SOC
MATH276,Astrophysics MIS
MIS489,Seminar on CS
STAT555,Calculus I MIS
PSY473,Data Structures SOC,MUS90337
ECON596,Methods in BIO,ECON201
MATH322,Topics in ECON,MATH162
HIST38096,English II ENG
ECON129,Seminar on ART
MIS251,Seminar on PSY
MATH116,Theory of MATH,MIS50881
ART400,Statistics ECON
CS404,Regression Analysis CS,PSY151
SOC33155,Data Structures HIST,ENG277
ENG253,Cognitive Science MUS
STAT214,Seminar on MATH,MATH516
ART117,Topics in ENG
PHYS489,Thermodynamics STAT,MATH500
STAT377,Calculus II CHEM
CS311,Social Development I CHEM,MIS84188
ECON461,Machine Learning HIST
PHYS66461,Topics in CHEM,MATH257
CHEM272,Workshop in MATH,HIST449
SOC201,Cognitive Science BIO,ENG288
CHEM143,Statistics ART,PHYS277
STAT143,Seminar on ART
MUS336,Topics in STAT
HIST410,Research in ENG
ART355,Principles of SOC
MUS355,Intro to MIS,CHEM216
HIST282,Social Development I SOC
SOC185,Seminar on ECON
BIO262,Statistics ENG,ECON596
SOC484,Microbiology MUS
STAT394,English I ECON
HIST544,Research in PSY
SOC523,Theory of MIS
MUS248,Theory of BIO,PSY562
BIO301,Data Structures MATH,CS411
ENG101,Data Structures SOC
SOC565,Cognitive Science MUS,ECON208
PHYS533,Artificial Intelligence PSY
ECON404,English I MUS
HIST274,Intro to MUS
STAT218,Statistics SOC,CHEM546
MUS355,Workshop in ENG
BIO376,Theory of ART
MUS285,Theory of STAT
CS311,Physics CHEM
PHYS318,Astrophysics ART
MIS40899,Social Development I MATH,CS132
MATH53341,Social Development II ART
SOC325,Intro to ECON
CHEM507,Biology ENG,SOC472
CHEM513,Biology ECON,ENG468
BIO551,Social Development II HIST
CS174,Seminar on PSY
STAT437,Physics ART,ART414
SOC548,Chemistry ENG
MIS481,Calculus II CHEM
CS210,Principles of MIS
ECON475,Social Development I MATH
MATH105,Data Structures PHYS
MUS371,Theory of MIS
ART292,Fundamentals of BIO
MUS464,Thermodynamics PSY,BIO395
PSY540,Astrophysics HIST
SOC407,Social Development I ECON
MIS520,Principles of HIST,HIST269
BIO90212,Chemistry PHYS
MATH353,Theory of MATH,BIO567
ENG220,Regression Analysis ENG
ENG571,Research in ENG,MATH241
MATH414,Intro to SOC
SOC302,Data Structures MATH
STAT479,Thermodynamics BIO,CS231
HIST209,Seminar on STAT,HIST141
CHEM65665,Social Development I ENG
ECON112,Advanced PHYS
HIST454,Astrophysics SOC
BIO560,Advanced ART
ENG421,Statistics MIS
MUS486,Biology PSY
ENG65037,Intro to PHYS,BIO190
ECON148,Lab in BIO
SOC180,Seminar on HIST,HIST208
ART105,Artificial Intelligence ART
ECON447,Physics MATH
SOC467,English I MATH
PSY585,Principles of STAT
CS187,Regression Analysis BIO
ECON522,Physics CHEM
ECON101,Data Structures PHYS,PHYS559
CHEM184,Chemistry MIS,ART353
ENG588,Methods in MIS
PSY262,Workshop in PHYS,MIS252
MIS599,Chemistry PSY
MATH460,Methods in CHEM
MIS598,Social Development I SOC
CHEM539,Astrophysics MUS,CS327
PHYS75253,English I CHEM
MATH360,Theory of PSY
PSY36839,Calculus II MIS
ECON411,Lab in BIO
MIS448,Calculus II BIO
STAT187,Thermodynamics HIST
MUS456,Biology HIST
CS404,Machine Learning ENG
MIS34003,Theory of CHEM
STAT324,Applications of ECON
ECON474,Astrophysics CS,SOC430
ECON72230,Biology STAT
PSY565,Physics MIS
SOC337,Calculus II CS
PSY491,English I BIO
HIST407,English II SOC
PSY351,Theory of ENG
PHYS127,Advanced MIS
ENG117,Machine Learning MIS,BIO281
BIO355,English II MUS
PSY226,Machine Learning ECON
ECON397,Principles of ENG,HIST241
SOC390,Intro to MUS,MUS474
ENG421,Artificial Intelligence SOC,BIO527
CHEM187,Social Development II MUS
STAT118,Statistics CS
ENG349,Machine Learning PHYS,PHYS170
PHYS487,Lab in ECON
MIS340,Intro to PSY
SOC390,Seminar on CHEM
MATH593,Chemistry MATH
MATH551,Advanced ART
ECON260,Regression Analysis CHEM
MIS44620,Research in BIO
MUS577,Topics in MATH
SOC588,Fundamentals of ECON,CS534
STAT473,English II BIO
CS390,English II CS,CS166
ECON155,Statistics CS
SOC428,Cognitive Science SOC
STAT571,Lab in ENG,ECON401
ENG451,English I BIO
MIS316,English II SOC,PHYS452
PSY157,Social Development II HIST
MIS232,Astrophysics CHEM
STAT526,Biology CS,CHEM423
STAT309,Regression Analysis MATH
MIS529,Chemistry PSY
STAT412,Statistics ECON,STAT230
STAT252,Principles of ENG
BIO322,Calculus I SOC,ENG294
MUS596,Theory of SOC
ECON49600,Machine Learning ART
HIST553,Microbiology ENG,STAT366
ART331,English I PSY
ART104,Artificial Intelligence CHEM,CS136
CHEM112,Machine Learning PHYS
CHEM50003,Theory of PSY
MATH524,English I BIO
MUS36951,English II SOC,BIO136
STAT569,Calculus I MUS
ECON281,Seminar on ART
MATH496,Calculus I ART
MATH556,Principles of CS
PHYS529,Research in ENG
ART137,Workshop in HIST,ENG137
CS214,Statistics CS
ENG279,Statistics PHYS
BIO232,Regression Analysis MUS
SOC460,Artificial Intelligence MIS
CS287,Research in CS,SOC598
CS278,Advanced ENG,STAT555
PSY347,Theory of CHEM
HIST498,Applications of MUS,ECON338
STAT549,Lab in CS
STAT505,Biology MIS
STAT113,Workshop in HIST
CHEM423,Topics in CS
SOC357,Physics CS
ECON524,Chemistry CS
PHYS99812,Intro to HIST
ECON387,Biology CHEM
SOC337,Microbiology SOC
STAT398,Astrophysics STAT
CHEM348,Theory of MATH
STAT439,English I MIS,BIO412
CHEM518,English II CS,STAT397
STAT137,Artificial Intelligence PHYS
HIST177,Physics MUS,MIS193
CS174,Physics ART,STAT500
MUS126,Topics in CS
CHEM290,Machine Learning CHEM,PHYS245
CHEM85134,Social Development II STAT,BIO378
ENG523,Statistics PSY
SOC327,Microbiology CHEM
MIS419,Social Development I MATH
SOC540,Fundamentals of ENG,MATH333
MUS366,Topics in ENG,PSY556
HIST81554,Microbiology CS
PHYS425,Machine Learning SOC
ENG14918,English II STAT,STAT407
PSY516,Applications of SOC
MUS587,Fundamentals of HIST,PHYS587
ART343,Microbiology STAT,CHEM510
PSY226,Chemistry BIO
MUS280,Social Development II MIS
CHEM470,Calculus I MIS
MATH98514,Intro to MIS,MATH524
STAT564,Methods in MATH,ENG450
MIS375,Advanced ART
CHEM113,Social Development II PSY
SOC587,English I BIO
SOC510,Data Structures MIS,MATH474
ART217,Chemistry CS
HIST324,Data Structures ENG
HIST284,Principles of ECON
CS89696,Lab in PSY
SOC176,Statistics SOC
ENG364,Intro to STAT,BIO461
BIO346,Seminar on SOC
CS537,Cognitive Science PSY
PSY514,Calculus II SOC
HIST334,Applications of CHEM
PHYS450,Physics BIO
CS105,Lab in ENG,MATH188
PSY130,Theory of SOC
PHYS129,Calculus II CS
CS518,Statistics STAT
STAT254,Physics SOC
SOC394,Social Development I ECON
CS129,Applications of CHEM
CHEM468,English I PHYS,MIS415
PHYS66859,Applications of ENG
ART278,Calculus I PSY,BIO470
CS548,Theory of MATH
STAT150,English I MUS,STAT58153
MIS480,Thermodynamics HIST
HIST137,Microbiology ART,ENG342
ENG310,Microbiology ENG
CS258,Fundamentals of CHEM,ENG549
MATH242,Social Development II ECON
MIS13172,Artificial Intelligence SOC,MATH525
BIO437,Principles of SOC
ART597,Methods in HIST
SOC306,Calculus I PHYS
HIST160,Thermodynamics MIS
MUS575,Data Structures STAT,PSY227
CHEM571,Workshop in PHYS
BIO367,Lab in STAT
MATH407,Biology SOC
HIST577,Principles of PSY
HIST290,Theory of ART,HIST110
MATH463,Regression Analysis PHYS
MIS26984,Artificial Intelligence SOC
MIS170,Microbiology MATH
ECON152,Advanced STAT
PSY374,Workshop in STAT,BIO363
BIO527,Data Structures MUS
BIO299,Social Development II ENG
SOC81956,Lab in ART
ART565,Data Structures ECON
MUS507,Thermodynamics SOC,ART543
CS465,Applications of STAT
MATH321,Applications of BIO
ART47069,Physics BIO,MATH120
STAT262,Chemistry MATH
BIO421,Cognitive Science STAT,ENG565
BIO327,Cognitive Science PHYS
ENG477,Workshop in ENG
STAT210,Research in STAT
MATH589,Chemistry MIS,BIO306
BIO275,English I CHEM
MATH166,Topics in PSY
MATH117,Advanced PHYS
MUS577,Intro to MUS
PHYS133,Topics in CHEM
MUS338,Data Structures ART
PSY107,Calculus I SOC
MUS93269,Thermodynamics MIS
ART347,Research in STAT,CS227
ENG447,Fundamentals of ART
CHEM544,Applications of MIS
MATH141,Topics in MIS
BIO130,Workshop in PSY,CHEM510
STAT561,Cognitive Science CS,MIS589
SOC493,Physics MIS
CHEM129,Astrophysics STAT
ECON171,Microbiology CS,ECON242
HIST247,Principles of CHEM
MATH136,Cognitive Science ENG
MIS186,Research in MATH
BIO343,Data Structures MATH
ENG404,Physics STAT,ECON51720
MIS312,Research in PSY,PSY590
PHYS297,Data Structures PSY
PHYS488,Lab in CS,SOC480
CS271,Calculus II MUS,PSY110
PSY136,Biology HIST
SOC583,Intro to PHYS
ART587,Statistics ART,PSY267
MATH421,Regression Analysis CHEM
BIO183,Artificial Intelligence MIS
PHYS429,Methods in PHYS
PSY423,Social Development I MUS
PSY521,Principles of CHEM
STAT545,Calculus I MUS
PSY58248,Machine Learning STAT
ART247,Calculus II CHEM
HIST135,Seminar on MIS,STAT167
CHEM353,Methods in MATH
BIO447,Artificial Intelligence SOC
ART541,Topics in MIS,MIS532
ART422,Social Development I ECON
ART492,Methods in ECON
MATH530,Cognitive Science MUS
MIS247,Statistics ECON
SOC447,Applications of PSY
BIO37019,Topics in CHEM
ART102,Physics HIST
MIS297,Chemistry ECON
BIO598,Intro to PSY
BIO131,Lab in CHEM,MUS589
MUS139,Workshop in STAT
ENG523,Artificial Intelligence SOC
STAT210,Chemistry BIO
MIS106,Advanced MIS,SOC336
PSY480,Calculus I ECON
HIST292,Research in ART
ECON284,Calculus I ENG
STAT402,Principles of PSY
MUS113,Calculus I ECON
HIST411,Lab in ENG
ENG531,Intro to CS
MATH599,Machine Learning MATH
ENG51516,Astrophysics CHEM
HIST346,Seminar on CS
BIO112,Astrophysics SOC
PSY132,Methods in HIST
PSY472,Intro to BIO,CHEM193
MIS227,Artificial Intelligence ART
STAT118,Social Development I BIO
ECON177,Seminar on STAT,CHEM50003
ENG264,Social Development II STAT
MUS492,Thermodynamics ENG,MIS257
MATH390,English I BIO
SOC380,Principles of PHYS,STAT237
ART98948,Astrophysics SOC
MIS486,Thermodynamics ENG
SOC211,English II CS
BIO40299,Cognitive Science PSY
ENG465,Statistics PHYS,PHYS276
BIO338,Topics in ART
ECON123,Thermodynamics HIST
ECON263,English I HIST
SOC590,Machine Learning ENG,ENG305
BIO132,Cognitive Science PHYS,STAT395
PSY373,Regression Analysis BIO,CS276
CS263,Advanced MUS
ECON592,Artificial Intelligence MUS
ENG407,Machine Learning HIST
CHEM505,English I ART
ECON464,Applications of STAT,PSY348
ENG582,Intro to PSY
